A00;Kolera
A06.8;Amebna infekcija na drugih mestih
A06.9;Ameboza, neopredeljena
A07;Druge protozojske èrevesne bolezni
A07.0;Balantidioza
A07.1;Lamblioza [Giardioza]
A07.2;Kriptosporidioza
A07.3;Izosporioza
A07.8;Druge opredeljene protozojske èrevesne bolezni
A07.9;Protozojska èrevesna bolezen, neopredeljena
A08;Virusne in druge opredeljene èrevesne infekcije
A08.0;Rotavirusni enteritis
A08.1;Akutna gastroenteropatija, ki jo povzroèa Norwalk virus
A08.2;Adenovirusni enteritis
A08.3;Drugi virusni enteritis
A08.4;Èrevesna virusna infekcija, neopredeljena
A08.5;Druge opredeljene èrevesne infekcije
A09;Drugi gastroenteritis ali kolitis infekcijske etiologije ali neopredeljenega vzroka
A09.0;Drugi gastroenteritis ali kolitis infekcijske etiologije
A09.9;Gastroenteritis ali kolitis, vzrok neopredeljen
A15;Tuberkuloza dihal, potrjena bakteriološko in/ali histološko
A15.0;Tuberkuloza pljuè, potrjena z mikroskopskim pregledom sputuma ali tudi v kulturi
A15.1;Tuberkuloza pljuè, potrjena le v kulturi
A15.2;Tuberkuloza pljuè, potrjena le histološko
A15.3;Tuberkuloza pljuè, potrjena, naèin potrditve ni opredeljen
A15.4;Tuberkuloza intratorakalnih bezgavk, potrjena bakteriološko in/ali histološko
A15.5;Tuberkuloza larinksa, traheje in bronhijev, potrjena bakteriološko in/ali histološko
A15.6;Tuberkulozni plevritis, potrjen bakteriološko in/ali histološko
A15.7;Primarna tuberkuloza dihal, potrjena bakteriološko in/ali histološko
A15.8;Druge vrste tuberkuloza dihal, potrjena bakteriološko in/ali histološko
A15.9;Tuberkuloza dihal, neopredeljena, potrjena bakteriološko in/ali histološko
A16;Tuberkuloza dihal, ki bakteriološko ali histološko ni potrjena
A16.0;Tuberkuloza pljuè, bakteriološko in histološko negativna
A16.1;Tuberkuloza pljuè, bakteriološka ali histološka preiskava ni bila opravljena
A16.2;Tuberkuloza pljuè, bakteriološka ali histološka potrditev ni omenjena
A16.3;Tuberkuloza intratorakalnih bezgavk, bakteriološka ali histološka potrditev ni omenjena
A16.4;Tuberkuloza larinksa, traheje in bronhijev, bakteriološka ali histološka potrditev ni omenjena
A16.5;Tuberkulozni plevritis, bakteriološka ali histološka potrditev ni omenjena
A16.7;Primarna tuberkuloza dihal, bakteriološka ali histološka potrditev ni omenjena
A16.8;Druge vrste tuberkuloza dihal, bakteriološka ali histološka potrditev ni omenjena
A16.9;Tuberkuloza dihal, neopredeljena, bakteriološka ali histološka potrditev ni omenjena
A17;Tuberkuloza živèevja
A17.0;Tuberkulozni meningitis
A17.1;Tuberkulom mening
A17.8;Druge vrste tuberkuloza živèevja
A17.9;Tuberkuloza živèevja, neopredeljena
A18;Tuberkuloza drugih organov
A18.0;Tuberkuloza kosti in sklepov
A18.1;Tuberkuloza genitourinarnega sistema
A18.2;Tuberkulozna periferna limfadenopatija
A18.3;Tuberkuloza èrevesa, peritoneja in mezenterijskih bezgavk
A18.4;Tuberkuloza kože in podkožnega tkiva
A18.5;Oèesna tuberkuloza
A18.6;Tuberkuloza ušes
A18.7;Tuberkuloza suprarenalnih žlez
A18.8;Tuberkuloza drugih opredeljenih organov
A19;Miliarna tuberkuloza
A19.0;Akutna miliarna tuberkuloza posameznega opredeljenega organa
A19.1;Akutna miliarna tuberkuloza veè organov
A19.2;Akutna miliarna tuberkuloza, neopredeljena
A19.8;Druge vrste miliarna tuberkuloza
A19.9;Miliarna tuberkuloza, neopredeljena
A20;Kuga
A20.0;Bubonska kuga
A20.1;Celulokutana kuga
A20.2;Pljuèna kuga
A20.3;Meningitis, ki ga povzroèa kuga
A20.7;Septièna kuga
A20.8;Druge oblike kuge
A20.9;Kuga, neopredeljena
A21;Tularemija
A21.0;Ulceroglandularna tularemija
A21.1;Okuloglandularna tularemija
A21.2;Pljuèna tularemija
A21.3;Gastrointestinalna tularemija
A21.7;Generalizirana tularemija
A21.8;Druge oblike tularemije
A21.9;Tularemija, neopredeljena
A22;Antraks
A22.0;Kožni antraks
A22.1;Pljuèni antraks
A22.2;Gastrointestinalni antraks
A22.7;Antraksna sepsa
A22.8;Druge oblike antraksa
A22.9;Antraks, neopredeljen
A23;Bruceloza
A23.0;Bruceloza, ki jo povzroèa Brucella melitensis
A23.1;Bruceloza, ki jo povzroèa Brucella abortus
A23.2;Bruceloza, ki jo povzroèa Brucella suis
A23.3;Bruceloza, ki jo povzroèa Brucella canis
A23.8;Druge bruceloze
A23.9;Bruceloza, neopredeljena
A24;Nalezljiva smrkavost in smrkavosti podobna bolezen (melioidoza)
A24.0;Smrkavost
A24.1;Akutna in fulminantna melioidoza
A24.2;Subakutna in kronièna melioidoza
A24.3;Druge melioidoze
A24.4;Melioidoza, neopredeljena
A25;Vroèice zaradi ugriza podgane
A25.0;Spiriloza
A25.1;Streptobaciloza
A25.9;Vroèica zaradi ugriza podgane, neopredeljena
A26;Svinjska rdeèica (erizipeloid)
A26.0;Kožni erizipeloid
A26.7;Sepsa, ki jo povzroèa Erysipelothrix
A26.8;Druge oblike erizipeloida
A26.9;Erizipeloid, neopredeljen
A27;Leptospiroza
A27.0;Ikterohemoragièna leptospiroza
A27.8;Druge oblike leptospiroze
A27.9;Leptospiroza, neopredeljena
A28;Druge bakterijske zoonoze, ki niso uvršèene drugje
A28.0;Pastereloza
A28.1;Bolezen zaradi maèje opraskanine
A28.2;Zunajèrevesna jersinioza
A28.8;Druge opredeljene bakterijske zoonoze, ki niso uvršèene drugje
A28.9;Bakterijska zoonoza, neopredeljena
A30;Gobavost (lepra)  [Hansenova bolezen]
A30.0;Neopredeljena gobavost
A30.1;Gobavi tuberkuloid
A30.2;Mejna tuberkuloidna gobavost
A30.3;Mejna gobavost
A30.4;Mejna lepromatozna gobavost
A30.5;Lepromatozna gobavost
A30.8;Druge oblike gobavosti
A30.9;Gobavost, neopredeljena
A31;Infekcija, ki jo povzroèajo druge vrste mikobakterij
A31.0;Pljuèna mikobakterijska infekcija
A31.1;Kožna mikobakterijska infekcija
A31.8;Druge mikobakterijske infekcije
A31.9;Mikobakterijska infekcija, neopredeljena
A32;Listerioza
A32.0;Kožna listerioza
A32.1;Listerijski meningitis in meningoencefalitis
A32.7;Listerijska sepsa
A32.8;Druge oblike listerioze
A32.9;Listerioza, neopredeljena
A33;Tetanus novorojenèkov
A34;Obporodni tetanus
A35;Druge vrste tetanus
A36;Davica (difterija) 
A36.0;Davica v žrelu
A36.1;Davica v nosu in žrelu
A36.2;Davica v grlu
A36.3;Davica kože
A36.8;Druge vrste davica
A36.9;Davica, neopredeljena
A37;Oslovski kašelj
A37.0;Oslovski kašelj, ki ga povzroèa Bordetella pertussis
A37.1;Oslovski kašelj, ki ga povzroèa Bordetella parapertussis
A37.8;Oslovski kašelj, ki ga povzroèajo druge bakterije iz vrste Bordetella
A37.9;Oslovski kašelj, neopredeljen
A38;Škrlatinka
A39;Meningokokna infekcija
A39.0;Meningokokni meningitis
A39.1;Waterhouse-Friderichsenov sindrom (E35.1*)
A39.2;Akutna meningokokemija
A39.3;Kronièna meningokokemija
A39.4;Meningokokemija, neopredeljena
A39.5;Meningokokna bolezen srca
A39.8;Druge meningokokne infekcije
A39.9;Meningokokna infekcija, neopredeljena
A40;Streptokokna sepsa
A40.0;Sepsa, ki jo povzroèa streptokok skupine A
A40.1;Sepsa, ki jo povzroèa streptokok skupine B
A40.2;Sepsa, ki jo povzroèa streptokok skupine D
A40.3;Sepsa, ki jo povzroèa Streptococcus pneumoniae
A40.8;Druge vrste streptokokna sepsa
A40.9;Streptokokna sepsa, neopredeljena
A41;Druge sepse
A41.0;Sepsa, ki jo povzroèa Staphylococcus aureus
A41.1;Sepsa zaradi kakega drugega opredeljenega stafilokoka
A41.2;Sepsa, ki jo povzroèa neopredeljeni stafilokok
A41.3;Sepsa, ki jo povzroèa Haemophylus influenzae
A41.4;Sepsa, ki jo povzroèajo anaerobi
A41.5;Sepsa zaradi drugih ali neopredeljenih gramnegativnih mikroorganizmov
A41.50;Sepsa, ki jo povzroèajo neopredeljeni gramnegativni mikroorganizmi
A41.51;Sepsa, ki jo povzroèa E. coli
A41.52;Sepsa, ki jo povzroèa bakterija Pseudomonas
A41.58;Sepsa, ki jo povzroèajo drugi gramnegativni mikroorganizmi
A41.8;Druge vrste opredeljena sepsa
A41.9;Sepsa, neopredeljena
A42;Aktinomikoza
A42.0;Pljuèna aktinomikoza
A42.1;Trebušna aktinomikoza
A42.2;Aktinomikoza vratu in obraza
A42.7;Septièna aktinomikoza
A42.8;Druge oblike aktinomikoze
A42.9;Aktinomikoza, neopredeljena
A43;Nokardioza
A43.0;Pljuèna nokardioza
A43.1;Kožna nokardioza
A43.8;Druge oblike nokardioze
A43.9;Nokardioza, neopredeljena
A44;Bartoneloza
A44.0;Sistemska bartoneloza
A44.1;Kožna in kožnosluznièna bartoneloza
A44.8;Druge oblike bartoneloze
A44.9;Bartoneloza, neopredeljena
A46;Erizipel (šen)
A48;Druge bakterijske bolezni, ki niso uvršèene drugje
A48.0;Plinska gangrena
A48.1;Legioneloza (legionarska bolezen)
A48.2;Legioneloza (legionarska bolezen) brez pljuènice [pontiaška vroèica]
A48.3;Sindrom toksiènega šoka
A48.4;Brazilska pupurna vroèica
A48.8;Druge opredeljene bakterijske bolezni
A49;Bakterijske infekcije na neopredeljenih mestih
A49.0;Stafilokokna infekcija, neopredeljena
A49.1;Streptokokna infekcija, neopredeljena
A49.2;Infekcija, ki jo povzroèa Haemophilus influenzae, neopredeljena
A49.3;Infekcija zaradi mikoplazme, neopredeljena
A49.8;Druge bakterijske infekcije na neopredeljenih mestih
A49.9;Bakterijska infekcija, neopredeljena
A50;Prirojeni sifilis
A50.0;Zgodnji prirojeni sifilis, s simptomi
A50.1;Zgodnji prirojeni sifilis, latenten
A50.2;Zgodnji prirojeni sifilis, neopredeljen
A50.3;Okvara oèesa pri poznem prirojenem sifilisu
A50.4;Pozni prirojeni nevrosifilis [juvenilni nevrosifilis]
A50.5;Druge vrste pozni prirojeni sifilis, s simptomi
A50.6;Pozni prirojeni sifilis, latenten
A50.7;Pozni prirojeni sifilis, neopredeljen
A50.9;Prirojeni sifilis, neopredeljen
A51;Zgodnji sifilis
A51.0;Primarno genitalni sifilis
A51.1;Primarno analni sifilis
A51.2;Primarno ekstragenitalni sifilis
A51.3;Sekundarni sifilis kože in sluznic
A51.4;Druge vrste sekundarni sifilis
A51.5;Zgodnji sifilis, latenten
A51.9;Zgodnji sifilis, neopredeljen
A52;Pozni sifilis
A52.0;Kardiovaskularni sifilis
A52.1;Nevrosifilis s simptomi
A52.2;Nevrosifilis brez simptomov
A52.3;Nevrosifilis, neopredeljen
A52.7;Druge vrste pozni sifilis, s simptomi
A52.8;Pozni sifilis, latenten
A52.9;Pozni sifilis, neopredeljen
A53;Druge vrste neopredeljeni sifilis
A53.0;Latentni sifilis, ki ni opredeljen kot zgodnji ali pozni
A53.9;Sifilis, neopredeljen
A54;Gonokokna infekcija
A54.0;Gonokokna infekcija spodnjega genitourinarnega trakta brez abscesa periuretralnih ali akcesornih žlez
A54.1;Gonokokna infekcija spodnjega genitourinarnega trakta z abscesom periuretralnih ali akcesornih žlez
A54.2;Gonokokni pelviperitonitis in druge gonokokne genitourinarne infekcije
A54.3;Gonokokna infekcija oèesa
A54.4;Gonokokna infekcija mišiènoskeletnega sistema
A54.5;Gonokokni faringitis
A54.6;Gonokokna infekcija anusa in rektuma 
A54.8;Druge gonokokne infekcije
A54.9;Gonokokna infekcija, neopredeljena
A55;Klamidijski limfogranulom (venerièni)
A56;Druge klamidijske bolezni, pretežno spolno prenesene
A56.0;Klamidijska infekcija spodnjega genitourinarnega trakta
A56.1;Klamidijska infekcija pelviperitoneja in drugih genitourinarnih organov
A56.2;Klamidijska infekcija genitourinarnega trakta, neopredeljena
A56.3;Klamidijska infekcija anusa in rektuma
A56.4;Klamidijska infekcija farinksa
A56.8;Spolno prenesena klamidijska infekcija na drugih mestih
A57;Mehki èankar
A58;Granuloma inguinale
A59;Trihomonioza
A59.0;Urogenitalna trihomonioza
A59.8;Trihomonioza na drugih mestih
A59.9;Trihomonioza, neopredeljena
A60;Anogenitalna herpesvirusna infekcija [herpes simplex]
A60.0;Herpesvirusna infekcija spolovil in urogenitalnega trakta
A60.1;Herpesvirusna infekcija perianalne kože in rektuma
A60.9;Anogenitalna herpesvirusna infekcija, neopredeljena
A63;Druge, pretežno spolno prenesene bolezni, ki niso uvršèene drugje
A63.0;Anogenitalne (veneriène) bradavice
A63.8;Druge opredeljene, pretežno spolno prenesene bolezni
A64;Neopredeljene spolno prenesene bolezni
A65;Nevenerièni sifilis
A66;Frambezija
A66.0;Zaèetne lezije frambezije
A66.1;Multipli papilomi in mokra frambezija
A66.2;Druge zgodnje kožne frambezijske lezije
A66.3;Frambezijska hiperkeratoza
A66.4;Frambezijska guma in ulkusi
A66.5;Gangosa
A66.6;Frambezijske lezije kosti in sklepov
A66.7;Drugi znaki frambezije
A66.8;Latentna frambezija
A66.9;Frambezija, neopredeljena
A67;Pinta [karate]
A67.0;Primarne lezije pinte
A67.1;Intermediarne lezije pinte
A67.2;Pozne lezije pinte
A67.3;Mešane lezije pinte
A67.9;Pinta, neopredeljena
A68;Povratne mrzlice
A68.0;Povratna mrzlica, ki jo prenašajo uši
A68.1;Povratna mrzlica, ki jo prenašajo klopi
A68.9;Povratna mrzlica, neopredeljena
A69;Druge infekcije, ki jih povzroèajo spirohete
A69.0;Nekrotizirajoèi ulcerativni stomatitis
A69.1;Druge Vincentove infekcije
A69.2;Lymska borelioza
A69.8;Druge opredeljene infekcije, ki jih povzroèajo spirohete
A69.9;Infekcija, ki jih povzroèajo spirohete, neopredeljena
A70;Infekcija, ki jo povzroèa Chlamydia psittaci
A71;Trahom
A71.0;Zaèetni stadij trahoma
A71.1;Aktivni stadij trahoma
A71.9;Trahom, neopredeljen
A74;Druge bolezni, ki jih povzroèajo klamidije
A74.0;Klamidijski konjunktivitis
A74.8;Druge klamidijske bolezni
A74.9;Klamidijska infekcija, neopredeljena
A75;Pegasti tifus [rikecijski tifus]
A75.0;Epidemièna pegavica, ki jo prenašajo uši in jo povzroèa Rickettsia prowazekii
A75.1;Povratna pegavica [Brillova bolezen]
A75.2;Pegavica, ki jo povzroèa Rickettsia typhi
A75.3;Pegavica, ki jo povzroèa Rickettsia tsutsugamushi
A75.9;Pegasti tifus, neopredeljen
A77;Pegavica, ki jo prenaša klop [rikecioze, ki jih prenaša klop]
A77.0;Pegavica, ki jo povzroèa Rickettsia rickettsii
A77.1;Pegavica, ki jo pozroèa Rickettsia conorii
A77.2;Pegavica, ki jo povzroèa Rickettsia siberica
A77.3;Pegavica, ki jo povzroèa Rickettsia australis
A77.8;Druge pegavice, ki jih prenaša klop
A77.9;Pegavica, ki jo prenaša klop, neopredeljena
A78;Vroèica Q
A79;Druge rikecioze
A79.0;Rovska vroèica
A79.1;Rikecijske koze, ki jih povzroèa Rickettsia akari
A79.8;Druge opredeljene rikecioze
A79.9;Rikecioza, neopredeljena
A80;Akutni poliomielitis
A80.0;Akutni paralitièni poliomielitis, povezan z vakcino
A80.1;Akutni paralitièni poliomielitis, divji virus, importiran
A80.2;Akutni paralitièni poliomielitis, divji virus, endemièen 
A80.3;Akutni paralitièni poliomielitis, druge vrste in neopredeljen
A80.4;Akutni neparalitièni poliomielitis
A80.9;Akutni poliomielitis, neopredeljen
A81;Atipiène virusne infekcije centralnega živènega sistema
A81.0;Creutzfeldt-Jakobova bolezen
A81.1;Subakutni sklerozirajoèi panencefalitis
A81.2;Progresivna multifokalna levkoencefalopatija
A81.8;Druge atipiène virusne infekcije centralnega živènega sistema
A81.9;Atipièna virusna infekcija centralnega živènega sistema, neopredeljena
A82;Steklina
A82.0;Silvatièna steklina
A82.1;Urbana steklina
A82.9;Steklina, neopredeljena
A83;Virusni encefalitis, ki ga prenaša komar
A83.0;Japonski encefalitis
A83.1;Zahodni konjski encefalitis
A83.2;Vzhodni konjski encefalitis
A83.3;St. Louisni encefalitis
A83.4;Avstralski encefalitis
A83.5;Kalifornijski encefalitis
A83.6;Virusna bolezen Rocio
A83.8;Druge vrste virusni encefalitis, ki ga prenaša komar
A83.9;Virusni encefalitis, ki ga prenaša komar, neopredeljen
A84;Virusni encefalitis, ki ga prenaša klop
A84.0;Daljnovzhodni encefalitis, ki ga prenaša klop [ruski spomladansko-poletni encefalitis]
A84.1;Centralnoevropski encefalitis, ki ga prenaša klop
A84.8;Druge vrste virusni encefalitis, ki ga prenaša klop
A84.9;Virusni encefalitis, ki ga prenaša klop, neopredeljen
A85;Druge vrste virusni encefalitis, ki ni uvršèen drugje
A85.0;Enterovirusni encefalitis
A85.1;Adenovirusni encefalitis
A85.2;Virusni encefalitis, ki ga prenašajo èlenonožci, neopredeljen
A85.8;Druge vrste opredeljeni virusni encefalitis
A86;Neopredeljeni virusni encefalitis
A87;Virusni meningitis
A87.0;Enterovirusni meningitis
A87.1;Adenovirusni meningitis
A87.2;Limfocitni horiomeningitis
A87.8;Druge vrste virusni meningitis
A87.9;Virusni meningitis, neopredeljen
A88;Druge virusne infekcije centralnega živènega sistema, ki niso uvršèene drugje
A88.0;Enterovirusna vroèica z izpušèajem [Bostonski eksantem]
A88.1;Epidemièna vrtoglavica
A88.8;Druge opredeljene virusne infekcije centralnega živènega sistema
A89;Neopredeljena virusna infekcija centralnega živènega sistema
A90;Vroèica denga [klasièna denga]
A91;Hemoragièna vroèica denga
A92;Druge virusne vroèice, ki jih prenaša komar
A92.0;Virusna bolezen chikungunya
A92.1;Vroèica O'nyong-nyong
A92.2;Venezuelska konjska vroèica
A92.3;Zahodnonilska vroèica
A92.4;Vroèica doline Rift
A92.8;Druge opredeljene virusne vroèice, ki jih prenaša komar
A92.9;Virusna vroèica, ki jo prenaša komar, neopredeljena
A93;Druge virusne vroèice, ki jih prenašajo èlenonožci, in niso uvršèene drugje
A93.0;Virusna bolezen Oropouche
A93.1;Vroèica pešèene muhe
A93.2;Koloradska vroèica, ki jo prenaša klop
A93.8;Druge opredeljene virusne vroèice, ki jih prenašajo èlenonožci
A94;Nespecifièna virusna vroèica, ki jo prenašajo èlenonožci
A95;Rumena mrzlica
A95.0;Silvatièna rumena mrzlica
A95.1;Urbana rumena mrzlica
A95.9;Rumena mrzlica, neopredeljena
A96;Arenavirusna hemoragièna vroèica
A96.0;Junina hemoragièna vroèica
A96.1;Hemoragièna vroèica Machupo
A96.2;Vroèica Lassa
A96.8;Druge arenavirusne hemoragiène vroèice
A96.9;Arenavirusna hemoragièna vroèica, neopredeljena
A98;Druge virusne hemoragiène vroèice, ki niso uvršèene drugje
A98.0;Krimsko-kongoška hemoragièna vroèica
A98.1;Omska hemoragièna vroèica
A98.2;Bolezen kyasanurskega gozda
A98.3;Marburgvirusna bolezen
A98.4;Ebolavirusna bolezen
A98.5;Hemoragièna vroèica z renalnim sindromom
A98.8;Druge opredeljene virusne hemoragiène vroèice
A99;Neopredeljena hemoragièna virusna vroèica
B00;Herpesvirusne [herpes simplex] infekcije
B00.0;Eczema herpeticum
B00.1;Herpesvirusni vezikularni dermatitis
B00.2;Herpesvirusni gingivostomatitis in faringotonzilitis
B00.3;Herpesvirusni meningitis
B00.4;Herpesvirusni encefalitis
B00.5;Herpesvirusno vnetje oèesa
B00.7;Diseminirana herpesvirusna bolezen
B00.8;Druge oblike herpesvirusne infekcije
B00.9;Herpesvirusna infekcija, neopredeljena
B01;Varièela [norice]
B01.0;Varièelni meningitis
B01.1;Varièelni encefalitis
B01.2;Varièelna pljuènica
B01.8;Varièela z drugimi komplikacijami
B01.9;Varièela brez komplikacij
B02;Zoster [herpes zoster]
B02.0;Encefalitis zaradi zostra
B02.1;Meningitis zaradi zostra
B02.2;Zoster s prizadetostjo drugih delov živènega sistema
B02.3;Vnetje oèesa zaradi zostra
B02.7;Diseminirani zoster
B02.8;Zoster z drugimi zapleti
B02.9;Zoster brez zapleta
B03;Koze
B04;Opièje koze
B05;Ošpice
B05.0;Ošpice, ki se komplicirajo z encefalitisom
B05.1;Ošpice, ki se komplicirajo z meningitisom
B05.2;Ošpice, ki se komplicirajo s pnevmonijo
B05.3;Ošpice, ki se komplicirajo z vnetjem srednjega ušesa
B05.4;Ošpice s èrevesnimi zapleti
B05.8;Ošpice z drugimi zapleti
B05.9;Ošpice brez zapletov
B06;Rdeèke [rubella]
B06.0;Rdeèke z nevrološkimi komplikacijami
B06.8;Rdeèke z drugimi komplikacijami
B06.9;Rdeèke brez komplikacij
B07;Virusne bradavice
B08;Druge virusne infekcije, z znaèilnimi spremembami na koži in sluznicah, ki niso uvršèene drugje
B08.0;Druge ortopoksvirusne infekcije
B08.1;Molluscum contagiosum
B08.2;Exanthema subitum [šesta bolezen]
B08.3;Erythema infectiosum [peta bolezen]
B08.4;Enterovirusni vezikularni stomatitis z eksantemom
B08.5;Enterovirusni vezikularni faringitis
B08.8;Druge opredeljene virusne infekcije, za katere so znaèilne spremembe na koži in sluznici
B09;Neopredeljena virusna infekcija, za katero so znaèilne spremembe na koži in sluznici
B15;Akutni hepatitis A
B15.0;Hepatitis A s hepatièno komo
B15.9;Hepatitis A brez hepatiène kome
B16;Akutni hepatitis B
B16.0;Akutni hepatitis B z agensom delta (istoèasna infekcija) z jetrno komo
B16.1;Akutni hepatitis B z agensom delta (istoèasna infekcija) brez jetrne kome
B16.2;Akutni hepatitis B brez agensa delta z jetrno komo
B16.9;Akutni hepatitis B brez agensa delta in brez jetrne kome
B17;Druge vrste akutni virusni hepatitis
B17.0;Akutna (dodatna) infekcija delta pri nosilcu virusa hepatitisa B
B17.1;Akutni hepatitis C
B17.2;Akutni hepatitis E
B17.8;Druge vrste opredeljeni akutni virusni hepatitis
B17.9;Akutni virusni hepatitis, neopredeljen
B18;Kronièni virusni hepatitis
B18.0;Kronièni hepatitis B z agensom delta
B18.1;Kronièni virusni hepatitis B brez agensa delta
B18.2;Kronièni virusni hepatitis C
B18.8;Druge vrste kronièni hepatitis
B18.9;Kronièni virusni hepatitis, neopredeljen
B19;Neopredeljeni virusni hepatitis
B19.0;Neopredeljeni virusni hepatitis s komo
B19.9;Neopredeljeni virusni hepatitis brez kome
B20;Bolezen, ki jo povzroèa virus èloveške imunske pomanjkljivosti [HIV], ki se kaže z infekcijskimi in parazitskimi boleznimi
B21;Bolezen, ki jo povzroèa virus èloveške imunske pomanjkljivosti [HIV], ki se kaže z malignimi neoplazmami
B22;Bolezen, ki jo povzroèa virus èloveške imunske pomanjkljivosti [HIV], ki se kaže z drugimi opredeljenimi boleznimi
B23;Bolezen, ki jo povzroèa virus èloveške imunske pomanjkljivosti [HIV], ki se kaže z drugimi stanji
B23.0;Sindrom akutne infekcije HIV
B23.8;Bolezen HIV, ki se kaže z drugimi opredeljenimi stanji
B24;Neopredeljena bolezen, ki jo povzroèa virus èloveške imunske pomanjkljivosti [HIV]
B25;Citomegalovirusna bolezen
B25.0;Citomegalovirusna pljuènica (J17.1*)
B25.1;Citomegalovirusni hepatitis
B25.2;Citomegalovirusni pankreatitis
B25.8;Druge citomegalovirusne bolezni
B25.9;Citomegalovirusna bolezen, neopredeljena
B26;Mumps
B26.0;Mumpsov orhitis
B26.1;Mumpsov meningitis
B26.2;Mumpsov encefalitis
B26.3;Mumpsov pankreatitis
B26.8;Mumps z drugimi zapleti
B26.9;Mumps brez komplikacij
B27;Infekcijska mononukleoza
B27.0;Gamaherpesvirusna mononukleoza
B27.1;Citomegalovirusna mononukleoza
B27.8;Druge infekcijske mononukleoze
B27.9;Infekcijska mononukleoza, neopredeljena
B30;Virusni konjunktivitis
B30.0;Keratokonjunktivitis, ki ga povzroèa adenovirus
B30.1;Konjunktivitis, ki ga povzroèa adenovirus
B30.2;Virusni faringokonjunktivitis
B30.3;Akutni epidemièni hemoragièni konjunktivitis (enterovirusni)
B30.8;Druge vrste virusni konjunktivitis
B30.9;Virusni konjunktivitis, neopredeljen
B33;Druge virusne bolezni, ki niso uvršèene drugje
B33.0;Epidemièna mialgija
B33.1;Bolezen Ross River
B33.2;Virusni karditis
B33.3;Retrovirusne infekcije, ki niso uvršèene drugje
B33.4;Hantavirusni pljuèni sindrom [HPS] [HCPS] (J17.1*)
B33.8;Druge opredeljene virusne bolezni
B34;Virusne infekcije neopredeljenega mesta
B34.0;Adenovirusna infekcija, neopredeljena
B34.1;Enterovirusna infekcija, neopredeljena
B34.2;Coronavirusna infekcija, neopredeljena
B34.3;Parvovirusna infekcija, neopredeljena
B34.4;Papovavirusna infekcija, neopredeljena
B34.8;Druge virusne infekcije neopredeljenega mesta
B34.9;Virusna infekcija, neopredeljena
B35;Dermatofitoze
B35.0;Tinea barbae in tinea capitis
B35.1;Tinea unguium
B35.2;Tinea manuum
B35.3;Tinea pedis
B35.4;Tinea corporis
B35.5;Tinea imbricata
B35.6;Tinea cruris
B35.8;Druge dermatofitoze
B35.9;Dermatofitoza, neopredeljena
B36;Druge superficialne mikoze
B36.0;Pityriasis versicolor
B36.1;Tinea nigra
B36.2;Bela piedra
B36.3;Èrna piedra
B36.8;Druge opredeljene superficialne mikoze
B36.9;Superficialna mikoza, neopredeljena
B37;Kandidioza
B37.0;Kandidni stomatitis
B37.1;Pljuèna kandidioza
B37.2;Kandidoza kože in nohta
B37.3;Kandidoza vulve in vagine (N77.1*)
